date,id,metric,value,filingdate,enddate
2020-07-31,6013,eps,2.609344,20200731.0,20200627.0
2020-10-30,6013,eps,0.742952,20201030.0,20200926.0
2021-01-28,6013,eps,1.69795,20210127.0,20201226.0
2021-01-29,6013,eps,1.69795,20210128.0,20201226.0
2021-04-29,6013,eps,1.410453,20210428.0,20210327.0
2021-04-30,6013,eps,1.410453,20210429.0,20210327.0
2021-07-28,6013,eps,1.307565,20210727.0,20210626.0
2021-07-29,6013,eps,1.307565,20210728.0,20210626.0
2021-10-29,6013,eps,1.246488,20211029.0,20210925.0
2022-01-28,6013,eps,2.112651,20220128.0,20211225.0
2022-04-29,6013,eps,1.536353,20220429.0,20220326.0
2022-07-29,6013,eps,1.202874,20220729.0,20220625.0
2022-10-28,6013,eps,1.292607,20221028.0,20220924.0
2023-02-03,6013,eps,1.88753,20230203.0,20221231.0
2023-05-05,6013,eps,1.530358,20230505.0,20230401.0
2020-07-31,9785,eps,1.006007,20200730.0,20200630.0
2020-10-30,9785,eps,1.046497,20201029.0,20200930.0
2021-02-26,9785,eps,0.821755,20210225.0,20201231.0
2021-04-30,9785,eps,1.451114,20210429.0,20210331.0
2021-07-30,9785,eps,1.656173,20210729.0,20210630.0
2021-10-29,9785,eps,1.588229,20211028.0,20210930.0
2022-02-25,9785,eps,0.995385,20220225.0,20211231.0
2022-04-28,9785,eps,1.56093,20220427.0,20220331.0
2022-07-29,9785,eps,1.957818,20220728.0,20220630.0
2022-10-28,9785,eps,1.803502,20221027.0,20220930.0
2023-02-24,9785,eps,-1.468614,20230223.0,20221231.0
2023-04-27,9785,eps,0.721001,20230426.0,20230331.0
2020-07-23,6822,eps,0.868846,20200722.0,20200630.0
2020-07-24,6822,eps,0.868846,20200724.0,20200630.0
2020-10-22,6822,eps,1.159972,20201021.0,20200930.0
2020-10-23,6822,eps,1.159972,20201023.0,20200930.0
2021-01-28,6822,eps,1.192782,20210127.0,20201231.0
2021-02-11,6822,eps,1.192782,20210210.0,20201231.0
2021-04-29,6822,eps,0.55071,20210428.0,20210331.0
2021-04-30,6822,eps,0.55071,20210430.0,20210331.0
2021-07-29,6822,eps,0.614663,20210728.0,20210630.0
2021-07-30,6822,eps,0.614663,20210730.0,20210630.0
2021-10-28,6822,eps,0.700685,20211027.0,20210930.0
2021-10-29,6822,eps,0.700685,20211029.0,20210930.0
2022-01-27,6822,eps,0.758903,20220126.0,20211231.0
2022-02-10,6822,eps,0.758903,20220209.0,20211231.0
2022-04-28,6822,eps,0.711515,20220427.0,20220331.0
2022-04-29,6822,eps,0.711515,20220429.0,20220331.0
2022-07-28,6822,eps,0.792519,20220727.0,20220630.0
2022-07-29,6822,eps,0.792519,20220729.0,20220630.0
2022-10-27,6822,eps,0.834201,20221026.0,20220930.0
2022-10-28,6822,eps,0.834201,20221028.0,20220930.0
2023-01-26,6822,eps,0.853084,20230125.0,20221231.0
2023-02-09,6822,eps,0.853084,20230208.0,20221231.0
2023-04-27,6822,eps,0.738027,20230426.0,20230331.0
2023-04-28,6822,eps,0.738027,20230428.0,20230331.0
2020-07-22,3244,eps,0.548161,20200721.0,20200630.0
2020-07-29,3244,eps,0.548161,20200728.0,20200630.0
2020-10-21,3244,eps,0.404629,20201020.0,20200930.0
2020-10-29,3244,eps,0.404629,20201028.0,20200930.0
2021-01-27,3244,eps,0.379737,20210126.0,20201231.0
2021-02-12,3244,eps,0.379737,20210211.0,20201231.0
2021-04-20,3244,eps,0.495014,20210419.0,20210331.0
2021-04-28,3244,eps,0.495014,20210427.0,20210331.0
2021-07-20,3244,eps,0.809839,20210719.0,20210630.0
2021-07-28,3244,eps,0.809839,20210727.0,20210630.0
2021-10-15,3244,eps,0.976425,20211015.0,20210930.0
2021-10-27,3244,eps,0.976425,20211026.0,20210930.0
2022-01-20,3244,eps,1.685767,20220119.0,20211231.0
2022-02-10,3244,eps,1.685767,20220209.0,20211231.0
2022-04-20,3244,eps,1.552274,20220419.0,20220331.0
2022-04-27,3244,eps,1.552274,20220426.0,20220331.0
2022-07-19,3244,eps,0.823419,20220718.0,20220630.0
2022-08-09,3244,eps,0.823419,20220808.0,20220630.0
2022-10-20,3244,eps,1.368849,20221019.0,20220930.0
2022-10-28,3244,eps,1.368849,20221028.0,20220930.0
2023-01-19,3244,eps,0.637058,20230118.0,20221231.0
2023-02-15,3244,eps,0.637058,20230214.0,20221231.0
2023-04-19,3244,eps,0.501327,20230418.0,20230331.0
2023-05-02,3244,eps,0.501327,20230501.0,20230331.0
2020-07-17,1077,eps,0.30084,20200716.0,20200630.0
2020-07-30,1077,eps,0.301192,20200729.0,20200630.0
2020-10-22,1077,eps,0.689038,20201021.0,20200930.0
2020-11-05,1077,eps,0.690908,20201104.0,20200930.0
2021-01-28,1077,eps,1.20626,20210127.0,20201231.0
2021-02-19,1077,eps,1.200111,20210219.0,20201231.0
2021-04-21,1077,eps,1.000558,20210420.0,20210331.0
2021-05-06,1077,eps,1.004591,20210505.0,20210331.0
2021-07-23,1077,eps,0.663134,20210722.0,20210630.0
2021-08-05,1077,eps,0.665466,20210804.0,20210630.0
2021-10-21,1077,eps,1.17384,20211020.0,20210930.0
2021-11-04,1077,eps,1.178913,20211103.0,20210930.0
2022-01-27,1077,eps,1.116161,20220126.0,20211231.0
2022-02-18,1077,eps,1.111672,20220218.0,20211231.0
2022-04-21,1077,eps,1.378591,20220420.0,20220331.0
2022-05-04,1077,eps,1.383724,20220503.0,20220331.0
2022-07-21,1077,eps,1.143342,20220720.0,20220630.0
2022-08-03,1077,eps,1.14547,20220802.0,20220630.0
2022-10-20,1077,eps,0.813492,20221019.0,20220930.0
2022-11-02,1077,eps,0.815188,20221101.0,20220930.0
2023-01-26,1077,eps,0.588939,20230125.0,20221231.0
2023-02-17,1077,eps,0.586659,20230217.0,20221231.0
2023-04-20,1077,eps,0.752283,20230419.0,20230331.0
2023-05-05,1077,eps,0.756715,20230504.0,20230331.0
2020-09-16,8754,eps,1.989583,20200915.0,20200828.0
2020-09-24,8754,eps,1.988754,20200923.0,20200828.0
2020-12-11,8754,eps,4.697286,20201210.0,20201127.0
2021-01-15,8754,eps,4.697286,20210115.0,20201127.0
2021-03-24,8754,eps,2.632567,20210323.0,20210305.0
2021-04-01,8754,eps,2.633667,20210331.0,20210305.0
2021-06-18,8754,eps,2.334728,20210617.0,20210604.0
2021-07-01,8754,eps,2.335705,20210630.0,20210604.0
2021-09-22,8754,eps,2.54088,20210921.0,20210903.0
2021-09-30,8754,eps,2.542479,20210929.0,20210903.0
2021-12-17,8754,eps,2.590336,20211216.0,20211203.0
2022-01-21,8754,eps,2.590336,20220121.0,20211203.0
2022-03-23,8754,eps,2.676532,20220322.0,20220304.0
2022-03-31,8754,eps,2.678798,20220330.0,20220304.0
2022-06-17,8754,eps,2.495762,20220616.0,20220603.0
2022-06-30,8754,eps,2.495234,20220629.0,20220603.0
2022-09-16,8754,eps,2.422174,20220915.0,20220902.0
2022-09-29,8754,eps,2.424759,20220928.0,20220902.0
2022-12-16,8754,eps,2.529032,20221215.0,20221202.0
2023-01-18,8754,eps,2.529032,20230117.0,20221202.0
2023-03-16,8754,eps,2.716775,20230315.0,20230303.0
2023-03-30,8754,eps,2.716775,20230329.0,20230303.0
2023-06-16,8754,eps,2.82751,20230615.0,20230602.0
2023-06-29,8754,eps,2.828746,20230628.0,20230602.0
2020-08-20,1741,eps,0.983388,20200819.0,20200801.0
2020-11-25,1741,eps,1.04669,20201124.0,20201031.0
2021-02-18,1741,eps,1.052318,20210217.0,20210130.0
2021-05-20,1741,eps,1.146634,20210519.0,20210501.0
2021-08-19,1741,eps,1.365926,20210818.0,20210731.0
2021-11-24,1741,eps,0.15659,20211123.0,20211030.0
2021-12-03,1741,eps,0.15659,20211203.0,20211030.0
2022-02-17,1741,eps,0.533184,20220216.0,20220129.0
2022-05-19,1741,eps,1.49946,20220518.0,20220430.0
2022-08-18,1741,eps,1.448682,20220817.0,20220730.0
2022-11-23,1741,eps,1.827741,20221122.0,20221029.0
2023-02-16,1741,eps,1.895945,20230215.0,20230128.0
2023-05-25,1741,eps,1.937045,20230524.0,20230429.0
2020-08-06,5136,eps,0.074823,20200805.0,20200630.0
2020-08-07,5136,eps,0.074823,20200807.0,20200630.0
2020-11-05,5136,eps,0.696599,20201104.0,20200930.0
2020-11-10,5136,eps,0.696599,20201109.0,20200930.0
2021-02-04,5136,eps,0.137793,20210203.0,20201231.0
2021-02-19,5136,eps,0.137793,20210219.0,20201231.0
2021-05-06,5136,eps,0.327535,20210505.0,20210331.0
2021-05-07,5136,eps,0.327535,20210506.0,20210331.0
2021-08-05,5136,eps,3.854345,20210804.0,20210630.0
2021-08-06,5136,eps,3.854345,20210806.0,20210630.0
2021-11-04,5136,eps,1.779155,20211103.0,20210930.0
2021-11-10,5136,eps,1.779155,20211109.0,20210930.0
2022-02-03,5136,eps,1.403173,20220202.0,20211231.0
2022-02-18,5136,eps,1.403173,20220218.0,20211231.0
2022-05-05,5136,eps,0.735615,20220504.0,20220331.0
2022-05-06,5136,eps,0.735615,20220505.0,20220331.0
2022-08-04,5136,eps,0.127207,20220803.0,20220630.0
2022-08-05,5136,eps,0.127207,20220804.0,20220630.0
2022-11-03,5136,eps,0.415933,20221102.0,20220930.0
2022-11-04,5136,eps,0.415933,20221103.0,20220930.0
2023-02-02,5136,eps,1.675592,20230201.0,20221231.0
2023-02-24,5136,eps,1.675592,20230223.0,20221231.0
