date,benchmark_index_level,benchmark_riskfree_rate
2020-06-30,6351.67,0.0008
2020-07-01,6383.76,0.0008
2020-07-02,6414.16,0.0009
2020-07-06,6516.05,0.0009
2020-07-07,6445.59,0.0009
2020-07-08,6496.14,0.0009
2020-07-09,6461.31,0.0009
2020-07-10,6528.96,0.0009
2020-07-13,6467.84,0.0009
2020-07-14,6555.4,0.0009
2020-07-15,6615.07,0.0009
2020-07-16,6592.75,0.001
2020-07-17,6611.86,0.0009
2020-07-20,6667.45,0.0009
2020-07-21,6678.74,0.0009
2020-07-22,6717.29,0.0009
2020-07-23,6635.04,0.0009
2020-07-24,6594.1,0.0009
2020-07-27,6642.89,0.0009
2020-07-28,6599.97,0.0009
2020-07-29,6682.01,0.0009
2020-07-30,6658.02,0.0009
2020-07-31,6709.81,0.0009
2020-08-03,6758.2,0.0009
2020-08-04,6782.6,0.0009
2020-08-05,6826.22,0.0009
2020-08-06,6870.86,0.0009
2020-08-07,6876.65,0.0009
2020-08-10,6895.59,0.0009
2020-08-11,6840.67,0.0009
2020-08-12,6937.44,0.0009
2020-08-13,6924.96,0.0009
2020-08-14,6924.28,0.0009
2020-08-17,6943.22,0.0009
2020-08-18,6960.3,0.0009
2020-08-19,6930.8,0.0008
2020-08-20,6952.92,0.0008
2020-08-21,6977.27,0.0008
2020-08-24,7048.17,0.0008
2020-08-25,7073.6,0.0008
2020-08-26,7145.77,0.0008
2020-08-27,7158.18,0.0008
2020-08-28,7207.1,0.0008
2020-08-31,7192.11,0.0008
2020-09-01,7246.37,0.0008
2020-09-02,7358.49,0.0008
2020-09-03,7101.38,0.0008
2020-09-04,7043.62,0.0008
2020-09-08,6848.42,0.0008
2020-09-09,6986.76,0.0008
2020-09-10,6864.23,0.0008
2020-09-11,6868.22,0.0008
2020-09-14,6957.91,0.0008
2020-09-15,6994.33,0.0009
2020-09-16,6962.29,0.0008
2020-09-17,6903.82,0.0008
2020-09-18,6826.72,0.0009
2020-09-21,6748.08,0.0008
2020-09-22,6819.08,0.0008
2020-09-23,6657.82,0.0008
2020-09-24,6678.04,0.0008
2020-09-25,6784.95,0.0008
2020-09-28,6894.27,0.0008
2020-09-29,6861.96,0.0008
2020-09-30,6918.83,0.0008
2020-10-01,6956.2,0.0008
2020-10-02,6889.65,0.0008
2020-10-05,7014.23,0.0008
2020-10-06,6916.4,0.0008
2020-10-07,7036.91,0.0008
2020-10-08,7095.4,0.0008
2020-10-09,7157.92,0.0008
2020-10-12,7275.43,
2020-10-13,7229.55,0.0008
2020-10-14,7182.38,0.0008
2020-10-15,7171.61,0.0008
2020-10-16,7172.7,0.0008
2020-10-19,7055.58,0.0008
2020-10-20,7089.06,0.0008
2020-10-21,7073.65,0.0008
2020-10-22,7111.17,0.0008
2020-10-23,7135.81,0.0008
2020-10-26,7003.21,0.0008
2020-10-27,6982.14,0.0008
2020-10-28,6735.75,0.0008
2020-10-29,6816.79,0.0008
2020-10-30,6734.84,0.0008
2020-11-02,6817.89,0.0008
2020-11-03,6939.3,0.0008
2020-11-04,7092.3,0.0008
2020-11-05,7231.67,0.0008
2020-11-06,7230.51,0.0008
2020-11-09,7315.77,0.0008
2020-11-10,7306.75,0.0008
2020-11-11,7362.65,
2020-11-12,7290.69,0.0009
2020-11-13,7390.61,0.0008
2020-11-16,7476.79,0.0008
2020-11-17,7442.04,0.0008
2020-11-18,7357.34,0.0008
2020-11-19,7386.86,0.0008
2020-11-20,7336.76,0.0008
2020-11-23,7378.94,0.0008
2020-11-24,7498.29,0.0008
2020-11-25,7486.68,0.0008
2020-11-27,7505.38,0.0008
2020-11-30,7472.06,0.0008
2020-12-01,7556.51,0.0008
2020-12-02,7570.76,0.0008
2020-12-03,7567.44,0.0008
2020-12-04,7634.77,0.0008
2020-12-07,7620,0.0008
2020-12-08,7641.43,0.0008
2020-12-09,7581.06,0.0008
2020-12-10,7571.87,0.0008
2020-12-11,7562.46,0.0008
2020-12-14,7530.87,0.0008
2020-12-15,7628.28,0.0008
2020-12-16,7641.82,0.0008
2020-12-17,7686.18,0.0008
2020-12-18,7659.75,0.0008
2020-12-21,7630.07,0.0008
2020-12-22,7614.83,0.0008
2020-12-23,7620.63,0.0008
2020-12-24,7648.39,0.0008
2020-12-28,7715.1,0.0008
2020-12-29,7697.93,0.0008
2020-12-30,7709.1,0.0008
2020-12-31,7759.35,0.0008
2021-01-04,7645.27,0.0009
2021-01-05,7700.34,0.0008
2021-01-06,7744.43,0.0008
2021-01-07,7861.1,0.0008
2021-01-08,7905.28,0.0008
2021-01-11,7853.45,0.0008
2021-01-12,7856.72,0.0008
2021-01-13,7874.75,0.0008
2021-01-14,7846.1,0.0008
2021-01-15,7789.79,0.0008
2021-01-19,7853.47,0.0008
2021-01-20,7962.92,0.0008
2021-01-21,7966.11,0.0008
2021-01-22,7942.2,0.0008
2021-01-25,7970.92,0.0008
2021-01-26,7959.1,0.0008
2021-01-27,7754.74,0.0007
2021-01-28,7831.22,0.0007
2021-01-29,7681.01,0.0007
2021-02-01,7804.31,0.0007
2021-02-02,7912.87,0.0008
2021-02-03,7920.85,0.0008
2021-02-04,8007.62,0.0008
2021-02-05,8039.67,0.0007
2021-02-08,8099.33,0.0007
2021-02-09,8091.7,0.0007
2021-02-10,8089.11,0.0007
2021-02-11,8104.19,0.0007
2021-02-12,8142.79,0.0007
2021-02-16,8139.16,0.0007
2021-02-17,8137.88,0.0007
2021-02-18,8102.24,0.0007
2021-02-19,8087.68,0.0007
2021-02-22,8025.81,0.0007
2021-02-23,8036.06,0.0007
2021-02-24,8127.38,0.0007
2021-02-25,7929.56,0.0007
2021-02-26,7892.81,0.0007
2021-03-01,8080.78,0.0007
2021-03-02,8015.54,0.0007
2021-03-03,7911.21,0.0007
2021-03-04,7806.45,0.0007
2021-03-05,7958.98,0.0007
2021-03-08,7916.41,0.0007
2021-03-09,8029.2,0.0007
2021-03-10,8078.05,0.0007
2021-03-11,8162.58,0.0007
2021-03-12,8172.9,0.0007
2021-03-15,8226.32,0.0007
2021-03-16,8213.63,0.0007
2021-03-17,8237.35,0.0007
2021-03-18,8116.17,0.0007
2021-03-19,8112.13,0.0007
2021-03-22,8169.14,0.0007
2021-03-23,8106.83,0.0007
2021-03-24,8063,0.0007
2021-03-25,8105.51,0.0007
2021-03-26,8240.38,0.0007
2021-03-29,8233.24,0.0007
2021-03-30,8208.1,0.0007
2021-03-31,8238.48,0.0005
2021-04-01,8335.91,0.0007
2021-04-05,8457.4,0.0007
2021-04-06,8449.54,0.0007
2021-04-07,8462.18,0.0006
2021-04-08,8499.85,0.0006
2021-04-09,8565.57,0.0006
2021-04-12,8564.03,0.0006
2021-04-13,8592.25,0.0006
2021-04-14,8558.16,0.0006
2021-04-15,8653.29,0.0006
2021-04-16,8684.51,0.0006
2021-04-19,8638.42,0.0006
2021-04-20,8579.95,0.0006
2021-04-21,8659.8,0.0006
2021-04-22,8580.73,0.0006
2021-04-23,8674.8,0.0006
2021-04-26,8690.26,0.0006
2021-04-27,8688.45,0.0006
2021-04-28,8681.17,0.0005
2021-04-29,8740.35,0.0005
2021-04-30,8678.16,0.0003
2021-05-03,8702.02,0.0005
2021-05-04,8643.91,0.0005
2021-05-05,8650.04,0.0005
2021-05-06,8722.04,0.0005
2021-05-07,8787.82,0.0005
2021-05-10,8696.29,0.0005
2021-05-11,8620.98,0.0005
2021-05-12,8437.24,0.0005
2021-05-13,8541.39,0.0005
2021-05-14,8669.49,0.0005
2021-05-17,8647.57,0.0005
2021-05-18,8574.98,0.0005
2021-05-19,8550.95,0.0005
2021-05-20,8641.98,0.0005
2021-05-21,8635.55,0.0005
2021-05-24,8722,0.0005
2021-05-25,8703.59,0.0004
2021-05-26,8720.04,0.0004
2021-05-27,8730.97,0.0004
2021-05-28,8738.77,0.0003
2021-06-01,8734.74,0.0004
2021-06-02,8748.3,0.0005
2021-06-03,8717.97,0.0004
2021-06-04,8795.08,0.0004
2021-06-07,8788.28,0.0004
2021-06-08,8790,0.0004
2021-06-09,8774.31,0.0004
2021-06-10,8815.56,0.0004
2021-06-11,8832.94,0.0004
2021-06-14,8851.17,0.0004
2021-06-15,8833.68,0.0004
2021-06-16,8786.18,0.0004
2021-06-17,8782.58,0.0008
2021-06-18,8667.76,0.0008
2021-06-21,8789.52,0.0008
2021-06-22,8834.56,0.0008
2021-06-23,8825.01,0.0008
2021-06-24,8877.06,0.0008
2021-06-25,8906.79,0.0008
2021-06-28,8927.4,0.0008
2021-06-29,8930.67,0.0008
2021-06-30,8942.78,0.0006
2021-07-01,8990.08,0.0008
2021-07-02,9058.66,0.0008
2021-07-06,9040.76,0.0008
2021-07-07,9071.14,0.0008
2021-07-08,8995.26,0.0008
2021-07-09,9096.84,0.0008
2021-07-12,9128.22,0.0008
2021-07-13,9096.15,0.0008
2021-07-14,9107.85,0.0008
2021-07-15,9078.33,0.0008
2021-07-16,9009.89,0.0008
2021-07-19,8867.07,0.0008
2021-07-20,9001.77,0.0008
2021-07-21,9075.97,0.0008
2021-07-22,9094.95,0.0008
2021-07-23,9187.64,0.0008
2021-07-26,9209.63,0.0008
2021-07-27,9166.27,0.0008
2021-07-28,9164.62,0.0008
2021-07-29,9204.25,0.0008
2021-07-30,9155.21,0.0006
2021-08-02,9138.36,0.0008
2021-08-03,9213.35,0.0008
2021-08-04,9170.76,0.0008
2021-08-05,9226.49,0.0008
2021-08-06,9243.03,0.0008
2021-08-09,9235.05,0.0008
2021-08-10,9244.22,0.0008
2021-08-11,9267.4,0.0008
2021-08-12,9297.2,0.0008
2021-08-13,9312.51,0.0008
2021-08-16,9337.18,0.0008
2021-08-17,9271.83,0.0008
2021-08-18,9173.93,0.0008
2021-08-19,9186.07,0.0008
2021-08-20,9261.31,0.0008
2021-08-23,9341.09,0.0008
2021-08-24,9355.11,0.0008
2021-08-25,9376,0.0007
2021-08-26,9321.74,0.0007
2021-08-27,9404.15,0.0007
2021-08-30,9445.24,0.0007
2021-08-31,9433.58,0.0005
2021-09-01,9437.15,0.0007
2021-09-02,9465.47,0.0007
2021-09-03,9462.54,0.0007
2021-09-07,9430.68,0.0007
2021-09-08,9418.57,0.0007
2021-09-09,9375.99,0.0007
2021-09-10,9304.03,0.0007
2021-09-13,9325.29,0.0007
2021-09-14,9273.99,0.0007
2021-09-15,9352.83,0.0007
2021-09-16,9338.61,0.0007
2021-09-17,9253.57,0.0007
2021-09-20,9096.52,0.0007
2021-09-21,9089.55,0.0007
2021-09-22,9176.08,0.0007
2021-09-23,9287.8,0.0007
2021-09-24,9301.49,0.0007
2021-09-27,9275.87,0.0007
2021-09-28,9087.47,0.0007
2021-09-29,9102.62,0.0007
2021-09-30,8994.83,0.0006
2021-10-01,9098.25,0.0007
2021-10-04,8980.64,0.0007
2021-10-05,9076.19,0.0007
2021-10-06,9113.45,0.0007
2021-10-07,9191.19,0.0007
2021-10-08,9173.74,0.0007
2021-10-11,9110.76,
2021-10-12,9088.73,0.0007
2021-10-13,9116.39,0.0007
2021-10-14,9272.97,0.0007
2021-10-15,9342.15,0.0007
2021-10-18,9373.68,0.0007
2021-10-19,9443.12,0.0007
2021-10-20,9477.82,0.0007
2021-10-21,9506.91,0.0007
2021-10-22,9496.86,0.0007
2021-10-25,9541.99,0.0007
2021-10-26,9559.39,0.0007
2021-10-27,9511.27,0.0007
2021-10-28,9605.23,0.0007
2021-10-29,9625.02,0.0006
2021-11-01,9642.44,0.0007
2021-11-02,9677.95,0.0007
2021-11-03,9740.47,0.0007
2021-11-04,9782.48,0.0007
2021-11-05,9819.98,0.0007
2021-11-08,9828.81,0.0007
2021-11-09,9795.12,0.0007
2021-11-10,9716.72,0.0007
2021-11-11,9722.08,
2021-11-12,9793.22,0.0007
2021-11-15,9793.53,0.0007
2021-11-16,9831.91,0.0007
2021-11-17,9808.27,0.0007
2021-11-18,9842.35,0.0007
2021-11-19,9828.8,0.0007
2021-11-22,9798.29,0.0007
2021-11-23,9814.65,0.0007
2021-11-24,9837.6,0.0007
2021-11-26,9614.25,0.0007
2021-11-29,9741.78,0.0007
2021-11-30,9558.33,0.0007
2021-12-01,9446.21,0.0007
2021-12-02,9581.79,0.0007
2021-12-03,9501.28,0.0007
2021-12-06,9613.02,0.0007
2021-12-07,9812.2,0.0007
2021-12-08,9842.68,0.0007
2021-12-09,9773.19,0.0007
2021-12-10,9866.62,0.0007
2021-12-13,9776.69,0.0007
2021-12-14,9705.06,0.0007
2021-12-15,9863.92,0.0007
2021-12-16,9778.09,0.0007
2021-12-17,9678.03,0.0007
2021-12-20,9567.91,0.0007
2021-12-21,9738.73,0.0007
2021-12-22,9838.9,0.0007
2021-12-23,9900.3,0.0008
2021-12-27,10037.67,0.0007
2021-12-28,10027.53,0.0007
2021-12-29,10041.61,0.0007
2021-12-30,10012.51,0.0007
2021-12-31,9986.7,0.0007
2022-01-03,10050.41,0.0007
2022-01-04,10044.75,0.0007
2022-01-05,9850.7,0.0007
2022-01-06,9841.92,0.0007
2022-01-07,9803.85,0.0007
2022-01-10,9789.72,0.0007
2022-01-11,9879.39,0.0007
2022-01-12,9907.38,0.0007
2022-01-13,9767.35,0.0007
2022-01-14,9775.53,0.0007
2022-01-18,9595.93,0.0007
2022-01-19,9503.14,0.0007
2022-01-20,9398.96,0.0007
2022-01-21,9221.28,0.0007
2022-01-24,9246.84,0.0007
2022-01-25,9134.33,0.0007
2022-01-26,9120.75,0.0007
2022-01-27,9072.24,0.0007
2022-01-28,9294.21,0.0007
2022-01-31,9469.92,0.0007
2022-02-01,9534.95,0.0007
2022-02-02,9624.89,0.0007
2022-02-03,9390.57,0.0007
2022-02-04,9440.58,0.0007
2022-02-07,9405.84,0.0007
2022-02-08,9484.95,0.0007
2022-02-09,9623.84,0.0007
2022-02-10,9450.72,0.0007
2022-02-11,9271.8,0.0007
2022-02-14,9236.86,0.0007
2022-02-15,9383.57,0.0007
2022-02-16,9393.09,0.0007
2022-02-17,9195.35,0.0007
2022-02-18,9130.81,0.0007
2022-02-22,9038.32,0.0007
2022-02-23,8871.95,0.0007
2022-02-24,9005.37,0.0007
2022-02-25,9207.85,0.0007
2022-02-28,9186.37,0.0007
2022-03-01,9044.47,0.0007
2022-03-02,9213.39,0.0007
2022-03-03,9166.13,0.0007
2022-03-04,9094.04,0.0007
2022-03-07,8825.72,0.0007
2022-03-08,8762.11,0.0007
2022-03-09,8988.65,0.0007
2022-03-10,8950.9,0.0007
2022-03-11,8835.4,0.0007
2022-03-14,8771.75,0.0007
2022-03-15,8959.74,0.0007
2022-03-16,9160.51,0.0007
2022-03-17,9274.17,0.0032
2022-03-18,9382.43,0.0032
2022-03-21,9378.84,0.0032
2022-03-22,9484.86,0.0032
2022-03-23,9368.98,0.0032
2022-03-24,9504.19,0.0032
2022-03-25,9552.4,0.0032
2022-03-28,9620.66,0.0032
2022-03-29,9738.6,0.0032
2022-03-30,9678.3,0.0032
2022-03-31,9527.46,0.0032
2022-04-01,9559.95,0.0032
2022-04-04,9637.37,0.0032
2022-04-05,9517.94,0.0032
