id,cap,gics
6013,3050896.2,TECH
9785,90384.42,REAL
6822,50572.35,TECH
3244,113242.63,REAL
1077,189579.98,HLTH
8754,222881.64,TECH
1741,97681.3,TECH
5136,43291.85,FNCL
5856,42175.04,FNCL
1157,136084.16,HLTH
8196,41644.72,FNCL
3840,42405.94,ENER
5533,47041.99,FNCL
1114,1044859.4,TECH
4135,121377.09,TECH
9212,51411.57,ENER
3630,183436.31,TECH
3699,118631.19,HLTH
5561,61262.41,INDU
9112,66532.42,MATR
5595,105321.52,HLTH
9089,129472.53,FNCL
8456,127032.48,INDU
4479,228634.98,FNCL
7318,75217.78,INDU
8574,74982.78,HLTH
1159,151138.77,MATR
3593,523412.9,TECH
4628,168071.66,TECH
9733,126803.26,INDU
1926,63909.93,CSTP
6242,173214.78,COMM
1871,55723.13,CDIS
7144,69327.17,INDU
3546,41758.15,FNCL
8675,88626.41,HLTH
2404,58157.65,CDIS
8034,109196.17,FNCL
1049,118798.52,INDU
9982,177095.7,HLTH
6644,163141.8,COMM
6173,128320.56,TECH
6872,69189.54,UTIL
7857,53154.56,MATR
6495,66652.08,FNCL
6164,51657.89,INDU
1100,80158.46,INDU
2049,40111.39,FNCL
7885,57331.45,MATR
5633,62310.15,INDU
9166,77873.65,FNCL
5506,119815.12,HLTH
5665,150137.9,UTIL
3744,59023.3,INDU
8974,119622.26,INDU
9991,40204.85,REAL
4385,312310.03,CDIS
9549,54904.4,CDIS
5807,72972.74,HLTH
4404,99733.05,CDIS
1254,121505.56,TECH
1617,142627.7,FNCL
8015,48754.83,FNCL
9078,39893.81,ENER
7691,43617.2,INDU
3127,43730.56,TECH
8886,76024.32,INDU
8137,430142.47,HLTH
1736,66544.21,TECH
1601,260426.1,CSTP
5642,205767.23,TECH
6804,59584.79,MATR
9272,445190.03,HLTH
1136,132255.86,CDIS
3857,86362.12,TECH
4867,217867.31,CDIS
9757,117208.72,HLTH
7931,128605.51,FNCL
4077,93111.14,FNCL
2935,55216.87,INDU
1417,80862.29,CSTP
3191,49188.07,TECH
2974,292794.72,HLTH
3987,262263.4,CDIS
7964,2532081.0,TECH
4158,51316.02,REAL
1483,53989.99,FNCL
3711,48444.96,INDU
9200,69217.54,INDU
5911,51619.56,INDU
5156,364926.62,HLTH
1038,323241.1,TECH
2438,52434.62,ENER
9439,125562.73,ENER
2809,43713.74,INDU
1023,79753.44,FNCL
6523,207069.86,HLTH
1118,357646.53,CSTP
6529,57298.31,ENER
2356,77489.4,FNCL
7738,50040.61,INDU
5755,50267.65,FNCL
4556,57184.56,HLTH
6874,86113.21,ENER
9674,66251.79,TECH
2683,66688.49,TECH
7256,55462.31,MATR
8543,114026.55,COMM
2740,103159.64,FNCL
7201,133342.52,FNCL
8997,68475.04,MATR
4031,70012.25,ENER
5325,102629.8,ENER
4091,113547.8,CDIS
2493,76678.9,UTIL
4667,61044.32,FNCL
3635,97443.93,CDIS
2334,201250.08,HLTH
8019,86113.21,ENER
8334,1337539.8,CDIS
4538,163395.84,TECH
7608,63349.54,INDU
2881,131187.61,CSTP
4456,124755.88,INDU
5663,143133.47,INDU
2368,74246.72,CSTP
3959,160144.9,FNCL
7158,70541.57,INDU
5118,423259.8,CSTP
3772,97486.58,CSTP
6494,62360.41,COMM
6732,114074.73,FNCL
1485,45814.83,FNCL
7526,48425.33,ENER
1340,40423.71,FNCL
4958,221848.4,HLTH
5743,66931.22,ENER
1844,139478.23,TECH
4283,77765.1,HLTH
4140,63949.85,TECH
2375,116592.41,INDU
6241,63309.76,FNCL
7819,157027.27,FNCL
2260,90634.98,HLTH
3999,104175.05,FNCL
2467,59956.83,FNCL
4214,210843.52,TECH
9625,169637.45,CDIS
2302,69124.48,TECH
3890,111937.35,FNCL
8701,78831.21,HLTH
8779,45269.37,CDIS
4863,55169.21,FNCL
9199,132610.56,TECH
1745,447491.2,HLTH
6557,143999.95,ENER
5159,96246.25,HLTH
6405,195815.92,COMM
5075,113562.38,CDIS
2189,93508.43,FNCL
4441,99333.59,CSTP
4846,205209.31,TECH
6773,255176.31,CSTP
7692,64730.61,FNCL
9127,425017.62,FNCL
8881,115814.66,HLTH
7607,134349.17,HLTH
8114,41504.95,CDIS
9777,80737.89,FNCL
8992,745284.0,FNCL
7267,745284.0,FNCL
8356,57906.06,HLTH
1995,51249.55,TECH
6174,372702.44,FNCL
9971,238582.28,CSTP
2934,63806.62,FNCL
3641,108234.03,MATR
3310,50647.7,FNCL
5451,70188.78,CSTP
9030,89628.45,FNCL
8449,433610.12,ENER
4600,50553.93,INDU
6640,138127.94,INDU
7783,60879.71,CSTP
8946,80143.08,INDU
2080,156346.44,COMM
7204,61583.53,ENER
8395,90800.25,INDU
9448,298122.16,ENER
7538,75216.72,ENER
9155,292174.44,TECH
9985,49531.68,UTIL
5269,49115.23,INDU
5003,153955.38,INDU
7739,229820.28,HLTH
4152,73316.62,REAL
5490,166665.06,COMM
7165,92755.48,ENER
4591,129916.13,FNCL
4176,59014.67,CDIS
